03/03/2026 09:13 | LEO          | Wave:   2 | Nemici:    4 | Durata: 00:20 | Coltelli:    1
03/03/2026 09:15 | LEO          | Wave:   3 | Nemici:   10 | Durata: 00:31 | Coltelli:    1
03/03/2026 09:21 | nicolo zaniolo | Wave:   9 | Nemici:  103 | Durata: 02:10 | Coltelli:  349
03/03/2026 09:36 | LEO          | Wave:   1 | Nemici:    0 | Durata: 00:14 | Coltelli:    1
03/03/2026 09:42 | LEO          | Wave:   1 | Nemici:    0 | Durata: 00:14 | Coltelli:    1
03/03/2026 09:44 | LEO          | Wave:   1 | Nemici:    0 | Durata: 00:14 | Coltelli:    1
03/03/2026 09:45 | LEO          | Wave:   1 | Nemici:    0 | Durata: 00:14 | Coltelli:    2
03/03/2026 09:46 | LEO          | Wave:   1 | Nemici:    0 | Durata: 00:13 | Coltelli:    1
03/03/2026 09:46 | LEO          | Wave:   2 | Nemici:    4 | Durata: 00:21 | Coltelli:    1
03/03/2026 09:47 | mmmmmmmmmmmmmmmm | Wave:   1 | Nemici:    0 | Durata: 00:14 | Coltelli:    1
05/03/2026 16:30 | ciao         | Wave:   5 | Nemici:   35 | Durata: 00:23 | Coltelli:    1
